repo,commit,file_path,language,has_defect,lines,function_count,class_count,import_count,export_count,avg_complexity,max_complexity,fan_in,fan_out,code_smell_count,has_test
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/sortBy.js","javascript",1,71,2,0,3,1,2,3,1,13,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/tryEach.js","javascript",1,60,1,0,3,1,1,1,1,8,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","support/jsdoc/jsdoc-custom.js","javascript",0,130,2,0,0,0,3,3,1,20,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/internal/initialParams.js","javascript",0,7,1,0,0,1,1,1,6,2,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","lib/concat.js","javascript",1,30,0,0,2,1,0,0,1,3,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","lib/concatLimit.js","javascript",1,23,0,0,2,1,0,0,1,3,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","lib/concatSeries.js","javascript",1,23,0,0,2,1,0,0,1,3,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","mocha_test/concat.js","javascript",1,95,3,0,2,0,1,1,0,54,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","mocha_test/es2017/asyncFunctions.js","javascript",1,695,1,0,2,0,1,1,0,362,1,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","mocha_test/groupBy.js","javascript",1,355,1,0,2,0,1,1,0,243,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","perf/suites.js","javascript",1,396,1,0,1,0,2,2,1,86,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","lib/race.js","javascript",0,50,1,0,4,1,5,5,1,9,0,0
"async","2f14cac2757158cf0b12fc1252733a81d7b29310","lib/whilst.js","javascript",0,53,2,0,4,1,3,3,2,15,0,0
"lodash","fe8d32eda854377349a4f922ab7655c8e5df9a0b","lodash.js","javascript",1,17254,494,0,0,0,3.76,46,1113,1721,47,0
"lodash","fe8d32eda854377349a4f922ab7655c8e5df9a0b","lib/fp/build-dist.js","javascript",0,57,1,0,6,0,1,1,1,17,0,0
"lodash","18ba0a32f42fd02117f096b032f89c984173462d","lodash.js","javascript",1,17266,494,0,0,0,3.77,46,1112,1720,48,0
"lodash","18ba0a32f42fd02117f096b032f89c984173462d","lib/main/build-site.js","javascript",0,240,7,0,6,0,1.14,2,7,115,1,0
"lodash","b5e672995ae26929d111a6e94589f8d03fb8e578","lodash.js","javascript",1,17249,494,0,0,0,3.77,46,1111,1719,48,0
"lodash","b5e672995ae26929d111a6e94589f8d03fb8e578","lib/common/file.js","javascript",0,72,4,0,5,0,1,1,5,14,0,0
"lodash","e7b28ea6cb17b4ca021e7c9d66218c8c89782f32","lodash.js","javascript",1,17158,492,0,0,0,3.74,46,1106,1711,46,0
"lodash","e7b28ea6cb17b4ca021e7c9d66218c8c89782f32","fp/_baseConvert.js","javascript",0,570,18,0,2,0,4,16,28,101,5,0
"lodash","e42cd97dae460a7c306d0d214b0783c7eccae144","lodash.js","javascript",1,17090,492,0,0,0,3.72,46,1103,1699,45,0
"lodash","e42cd97dae460a7c306d0d214b0783c7eccae144","lib/fp/build-modules.js","javascript",0,151,5,0,7,0,1.6,4,5,60,0,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/classic/schemas.ts","typescript",1,2916,97,0,9,282,1.19,4,129,666,2,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/core/checks.ts","typescript",1,1313,3,0,5,93,2,2,2,126,1,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,889,47,0,8,44,4.38,24,15,156,12,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/core/regexes.ts","typescript",1,208,11,0,1,61,2,5,17,21,1,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/core/schemas.ts","typescript",1,5191,46,0,13,365,4.72,16,85,761,12,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/core/util.ts","typescript",1,1258,79,2,5,145,2.78,24,65,214,5,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/treeshake/valibot-object.ts","typescript",0,11,0,0,1,0,0,0,0,7,0,0
"zod","e4d67f3ea42de031f1f644a1efd7bd0a306dde56","packages/zod/src/v4/locales/zh-CN.ts","typescript",0,120,3,0,3,1,1.33,2,3,15,1,0
"zod","5489a532e65ee3f5ab0959ff8a5da346ced96f2a","packages/zod/src/v4/core/checks.ts","typescript",1,1307,3,0,5,93,2,2,2,126,1,0
